"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"TTBK2-AS1" -1.90348306102042 0.947730985636878 -14.3977128682531 2.58188724721506e-11 7.51788967076966e-09 16.2199655923961
"MGAT2" -1.8941651012208 3.94294722304433 -17.2520601499917 1.2307604423059e-12 6.47462121074597e-10 19.1308803581357
"NDUFB2" -1.89362261055662 4.54919743343224 -12.2154816720904 3.82201686593951e-10 5.86437348416127e-08 13.5536878193321
"TP53INP1" -1.88777946437129 4.78817089280875 -5.6259936266547 2.45252951629995e-05 0.000348797082905635 2.27360623777433
"RPL41" 1.88724271783162 5.84041054169413 3.44543212078782 0.0028883077715804 0.0126062599613769 -2.35021644730181
"SLC4A5" -1.88566534972846 2.48024094845917 -12.5468526989387 2.4779028082707e-10 4.1529651066617e-08 13.9822729201939
"CCNG2" -1.88559300020434 5.18793350631643 -4.66683322577925 0.000192257256381754 0.00165700201821427 0.202409699253385
"CRLS1" -1.88257377858764 3.86955865322892 -11.712249523577 7.51667576086191e-10 9.74841258795591e-08 12.8818403298266
"PLEKHG1" -1.88232480978141 3.68930654415843 -3.40829016359665 0.00313605791321189 0.0134321264670987 -2.51532218349067
"HDAC4" -1.87854568909838 2.3808067501303 -5.62047827523762 2.48102297670401e-05 0.000351930524846529 2.38686054641022
"TJP2" -1.8307760546966 2.92768369539085 -18.4861332707139 3.78332767486808e-13 2.57597323062581e-10 20.2316535746975
"CEBPB" -1.82483315290753 6.08535143972744 -3.99753201605045 0.000845518502935384 0.00507777208984459 -1.2972958937019
"MT-TT" -1.8224798424372 1.78409564507932 -4.26327237793155 0.000468370223658836 0.00323339953526931 -0.632947714229299
"TMEM170B" -1.80416697805239 3.77386509293106 -5.80385498101467 1.69319982861569e-05 0.000264451378992888 2.75484580025618
"ORMDL2" -1.7938728021917 4.86466242923576 -10.1094544712537 7.60609462916167e-09 6.736649991064e-07 10.5672176833446
"RNASEH1P1" 1.79335078540907 2.44377866817453 12.2400616687218 3.69992225028017e-10 5.76699115829492e-08 13.5861349834726
"RN7SL5P" -1.78650986998085 3.68525104577228 -2.9918836697536 0.00782682670800559 0.0269998258888578 -3.45234598543474
"ZC3H11A" -1.77215866934952 1.43724905381092 -12.3980340954335 3.00683421145863e-10 4.81712527935741e-08 13.7872668127314
"NUDT6" -1.76474441857736 1.76234930650944 -11.8487433076026 6.24292100140038e-10 8.37847204213108e-08 13.0534671615087
"MYCBP2-AS1" -1.75325434016438 1.09292692322077 -15.2980691689514 9.37822188238318e-12 3.40554497288941e-09 17.2175881979187
"MYO7B" 1.7496940748147 4.26057459519033 3.32213601169811 0.00379433279950991 0.0154872467283106 -2.61494806682916
"MIR6852" -1.74903531955662 1.14281644157451 -13.6364732788034 6.34475944678603e-11 1.60743742821598e-08 15.3296174693827
"NOMO1" 1.74332511581283 4.86087748075733 4.9417033809379 0.000105560693891786 0.00107526330362911 0.905470044916001
"MARCHF4" 1.73581771733332 5.01295819078081 2.28218182658624 0.0348708800421742 0.0824578613369754 -4.76826538626871
"FAM151B-DT" -1.73380886642946 2.39857961769234 -14.7187802982082 1.78839741066181e-11 5.56651468335706e-09 16.562003786854
"CYP2U1-AS1" -1.73020054625376 2.64983847975005 -9.45617521255528 2.11056190459855e-08 1.6191874217392e-06 9.53570577646923
"GCLC-AS1" -1.72892138667078 1.27566413786893 -13.2077991744445 1.07247563761939e-10 2.12428174476829e-08 14.8045358847487
"ZNF593OS" 1.72284367781369 3.08542998637054 13.131951605388 1.17857785746011e-10 2.25253108406498e-08 14.7155065036694
"STON1-GTF2A1L" -1.698232995292 1.10714043411708 -5.62207821448747 2.4727224992218e-05 0.000351210415991164 2.32383972802555
"WDR5B-DT" -1.6933599892398 1.91943035236798 -18.5985738581779 3.40990432556967e-13 2.57597323062581e-10 20.3925060265462
"KLHL24" -1.69254350011873 4.002329316242 -3.47028274909815 0.00273344956494742 0.012085308263205 -2.36212709105682
"NME1-NME2" 1.69076721491067 1.74020743202056 20.2271869351124 8.0440896469693e-14 1.09540390767604e-10 21.8295506655074
"DALRD3" -1.68336247587051 4.6523815456156 -8.90525218750241 5.18566082397013e-08 3.20980619410969e-06 8.63336597818837
"GYG1" -1.68319562292826 4.40253228940082 -10.8191736218623 2.64451548914602e-09 2.6675325684034e-07 11.630089135871
"HIC1" -1.67089744086666 1.44240807744253 -10.4516736967877 4.54019290893824e-09 4.22742406410028e-07 11.0566105259951
"H1-10-AS1" 1.66978944142889 2.50115455792873 9.15555084742309 3.43154291099288e-08 2.33645177952228e-06 9.05548644823277
"ROR1" -1.66692144661599 4.68395594751392 -2.52739185975511 0.0210791218308832 0.0564910094036018 -4.4260877839145
"SLC7A11" -1.66597572861971 7.21226219833689 -2.93366129077958 0.00888022532325109 0.0295573402601581 -3.60138039351967
"PLCG1-AS1" -1.665956252619 2.16768308162105 -11.125225397734 1.7036196720563e-09 1.89379925585524e-07 12.0618870165759
"OTUD1" -1.65635610779691 4.06465408656217 -5.84888360421672 1.54256548755839e-05 0.000249328018122569 2.8055070497225
"SLC3A1" -1.65367202450538 1.28406717934083 -10.8451722425807 2.54663257023554e-09 2.59280516076131e-07 11.6191498994399
"ETFRF1" -1.63848604749964 2.14264849628297 -7.70306051653419 4.20227409543535e-07 1.56244279848712e-05 6.49771126814526
"LBH" -1.63727285268184 5.12206269233708 -2.55665986697297 0.019829244157991 0.0538971521599685 -4.32456533721939
"ENDOG" -1.62897308417107 3.0059068564458 -11.3819500044955 1.18640489476553e-09 1.42029614544788e-07 12.4252980577473
"CYP51A1" -1.61535074502762 4.7611659238002 -9.29104218637922 2.75283263207471e-08 2.01270863716926e-06 9.28471097234584
"TTC36-AS1" -1.6137874746475 1.20503574121784 -12.2388974030764 3.70561208996369e-10 5.76699115829492e-08 13.5628029110799
"CD247" -1.61252079652378 1.33980470089766 -10.90523466936 2.33473530502148e-09 2.39949117102868e-07 11.7168492683015
"RPS29" -1.6000574409239 7.33796991911661 -3.70436330849853 0.00162449462676954 0.00829687972997062 -1.87476232968274
"MT-ND5" 1.59295743659088 11.6242695999776 3.46696033735541 0.00275366792377513 0.0121352986899702 -2.30263818562147
"KDM4A-AS1" -1.59294590754306 3.01243234641291 -10.2684616993248 5.9754323207816e-09 5.47028232794913e-07 10.8154699688503
"IL18BP" -1.58897786668297 3.79130083866383 -9.97516577429196 9.34521509304352e-09 8.01628135619024e-07 10.3658067325818
"TALAM1" -1.57963538379229 6.54083895650699 -5.30435106922155 4.83922856796769e-05 0.000595689898524746 1.66698159009377
"RNF43" -1.57788551235834 1.62353991365613 -2.45828423155811 0.0243316379493457 0.0627119484997404 -4.40259402496268
"MT-ND2" 1.56843679370546 9.81738251641649 4.25498817200366 0.000477056280426493 0.00328096661550898 -0.67317469010387
"MRAP" -1.5664571285076 1.25840569546527 -12.727132216127 1.96501310227664e-10 3.39791313273043e-08 14.2031007766711
"MT-ND4L" 1.5644056269301 8.26188596823978 3.69857306756031 0.00164557284750815 0.00837312965938988 -1.93639822800905
"SLC2A13" -1.56424770085236 3.28962604062996 -8.04015317011855 2.29372519804795e-07 9.72289583950752e-06 7.14232379910715
"FAM43A" -1.54709556062281 3.18557570226201 -3.93226142471003 0.000977800822149401 0.0056781248168953 -1.26868698253059
"MYG1" 1.54469907528717 1.82403196492489 19.7226973310837 1.24362371351402e-13 1.35480367350217e-10 21.4173289144226
"SMIM13" -1.54145983366962 5.77312631547936 -9.42251028849094 2.22745271142142e-08 1.68512984987673e-06 9.39702453708556
"RPL17-C18orf32" 1.53732285018893 1.62602329896862 11.1982256130706 1.53606646086389e-09 1.72514515718053e-07 12.1236812481293
"WDR83OS" 1.531968870412 1.61849167687801 14.9886206893156 1.32043732820047e-11 4.35904371315635e-09 16.8853067027773
"ATXN7L3-AS1" -1.53191281294699 2.28142178205148 -11.5596446472549 9.26947877930865e-10 1.14751933888396e-07 12.6733258458849
"H4C1" -1.53095995496466 6.33796432980023 -4.81684801252136 0.000138491309198921 0.00129726940878164 0.650400301225009
"SOX5" -1.52882930590088 3.26326246023341 -3.04149331292837 0.00702581876780899 0.0248584831622316 -3.20780031932293
"RFK" -1.52658981087656 5.45505687847833 -3.59526098922544 0.00207088039489852 0.00983013987887776 -2.14149701733456
"SOX6" -1.52270570171597 2.78644420582764 -3.50753839890401 0.00251654986823439 0.0114325664155736 -2.19953080856824
"PXN-AS1" -1.51766298441436 2.47220735959039 -11.9647855372099 5.33831063657016e-10 7.52888590720529e-08 13.2220720650369
"MAP2" -1.51707116012326 2.63323307858765 -2.28382649562675 0.0347553126457755 0.0822381355262985 -4.70700757815849
"PCAT1" -1.51673461475971 1.33879219425221 -4.65251457813478 0.000198390848493815 0.00169644419426344 0.226646408471622
"B9D1" -1.51261494435952 4.21584561684081 -10.057905646093 8.22979321457735e-09 7.17242938236845e-07 10.498185380592
"HELZ2" -1.51072334099839 6.25587622665261 -6.01305532459598 1.10067998770068e-05 0.000190330282317638 3.06907640853449
"MT2A" 1.50093751235585 7.74561635426405 7.89455088342131 2.97384721454425e-07 1.19912639867713e-05 6.75265328696447
"GPR75" 1.49938132084133 3.19320699085727 4.85849133775884 0.00012648062935405 0.00121753589637074 0.770416500476713
"LONRF1" -1.49571806179691 5.39408232886899 -5.11876737666094 7.20079879796871e-05 0.000793982814828655 1.16272958803897
"PDGFRA" -1.49379421003947 4.66991417133719 -2.11389758604649 0.0487541238182199 0.106279573166664 -5.17061051119324
"DIMT1" -1.49153751287918 5.40037300062426 -10.7966613491382 2.73245656313697e-09 2.7309524586068e-07 11.5770656034932
"MXRA8" -1.48948369346775 2.62973965561692 -7.75297521003111 3.83829535695374e-07 1.45188852842549e-05 6.60951325916782
"MMP3" 1.48456743570269 3.58499338079795 2.5242946466002 0.0212156570357283 0.0567870682425612 -4.25372935220741
"TMEM160" -1.48382357153774 3.98483796425574 -3.96094967204578 0.000917278037060961 0.0054044493973727 -1.21048885946146
"HSPA6" 1.48136643809326 5.1716004536085 1.15732410868142 0.262278553026969 0.38070246927236 -6.42627671802077
"MT-ATP8" 1.47948241575952 8.58599361624489 2.95363389229791 0.00850425905418527 0.0286159038970883 -3.55630211545112
"SNORA73B" -1.47822561770366 5.99135670119939 -3.69007471087629 0.00167700370220708 0.00847762335584407 -1.80301335231005
"ATG16L2" -1.47174831707547 3.17555159694157 -13.4964151777472 7.52034366901082e-11 1.78101356370008e-08 15.1537300833575
"SLC18A2" -1.46579604347375 3.2588720158473 -8.70446111061796 7.2618032249984e-08 4.06845689400192e-06 8.31019779415014
"CDS1" -1.46542162284083 2.81443155524209 -6.67353339110224 2.93419981897787e-06 6.94895061477063e-05 4.57166387091052
"BHLHE40-AS1" -1.464125972023 1.54617275106315 -6.31934508215843 5.91911168671808e-06 0.000117455014053018 3.79811390982325
"RPL31" -1.46266683124605 8.54213260750431 -5.82750203321109 1.61229365707737e-05 0.000255823509348616 2.68720862739344
"HSPE1" -1.46128423811663 4.80619820742137 -7.83319512021227 3.32050637092621e-07 1.30120850377231e-05 6.77199230075957
"MT-TP" -1.45930985268092 7.02976082155574 -3.08973064196648 0.0063237162513264 0.0228872308445016 -3.28873970334045
"CXCL14" -1.45168014862799 2.53334931338683 -2.06861897303778 0.0532682308827701 0.113274274299609 -5.1010651319419
"HEXB" -1.45048304130335 5.19257680884265 -4.64716291608307 0.000200734027519323 0.001712448313074 0.190850001816028
