"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "Gene"
"SOX2" -1.221154369174 2.71297140662391 -7.83117086988483 2.02767458865273e-10 8.52672124435173e-09 13.5378371083739 "SOX2"
"SAT1" -1.21565698618395 4.83222227585313 -9.67417063217104 2.5317898377262e-13 2.75671223848848e-11 20.1278518415632 "SAT1"
"IFNL3" -1.21490756090689 2.82715033768093 -3.78906883072706 0.000386906499004509 0.00158599151440672 -0.567442195742431 "IFNL3"
"EGR1" -1.21345597539294 4.53648410118541 -5.50437208771344 1.08727346258412e-06 1.11892825959606e-05 5.10586079726879 "EGR1"
"CXCL1" -1.21265828739391 2.5613243984371 -4.43979225460336 4.57485644506948e-05 0.000262172811783939 1.4768311871134 "CXCL1"
"SERPINA1" -1.20495837131572 2.28952032892056 -9.65565217320151 2.70350357145306e-13 2.91763062423629e-11 20.0631899016251 "SERPINA1"
"FGF5" -1.19918796909609 2.36364452579445 -6.79520623177401 9.45240828641916e-09 2.05110532122565e-07 9.75600007015834 "FGF5"
"DHX58" -1.19631674260189 2.99580835554183 -5.6659709573247 6.05303032058603e-07 6.8475607383624e-06 5.6778194648607 "DHX58"
"MAGEC1" -1.1960140442305 3.10633189774143 -3.91842470329474 0.000256108557288326 0.00111305910767325 -0.174680505066448 "MAGEC1"
"MT-TT" -1.18416705108172 5.68139574648869 -7.24714312461952 1.76489662231298e-09 4.95919684541632e-08 11.4068029132013 "MT-TT"
"IRAK2" -1.18072520637601 3.32110094124002 -13.2429619369055 1.76789640993098e-18 1.79662472659236e-15 31.7876106547515 "IRAK2"
"PDP1" -1.17739473971503 5.90553568828451 -6.76647956303697 1.05158978765813e-08 2.23420774561824e-07 9.65119875662067 "PDP1"
"SAMD9L" -1.17523708127185 2.64614388240951 -8.57212911087939 1.33416232458396e-11 8.17593444638258e-10 16.219960502966 "SAMD9L"
"MTND2P28" -1.17490994822113 4.19048393575699 -8.91513652155223 3.83744618222577e-12 2.70506683192158e-10 17.4484086318835 "MTND2P28"
"MIR100HG" -1.17464626671425 4.52396145338624 -7.54278712841407 5.89433391687232e-10 2.01914050888365e-08 12.4866090139508 "MIR100HG"
"MTATP6P1" -1.17433212968116 4.73897224372467 -7.14692857510914 2.56047384532815e-09 6.78803881386452e-08 11.0405925025249 "MTATP6P1"
